Time,Contract,Funding Interval,Funding Rate
"
03/01/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0106%"
"
03/01/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0014%"
"
03/01/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0090%"
"
02/28/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0047%"
"
02/28/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0154%"
"
02/28/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0224%"
"
02/27/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0017%"
"
02/27/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0052%"
"
02/27/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0361%"
"
02/26/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0154%"
"
02/26/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0226%"
"
02/26/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0252%"
"
02/25/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0174%"
"
02/25/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0197%"
"
02/25/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0092%"
"
02/24/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0104%"
"
02/24/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0081%"
"
02/24/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0023%"
"
02/23/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0069%"
"
02/23/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0006%"
"
02/23/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0060%"
"
02/22/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0087%"
"
02/22/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0277%"
"
02/22/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0069%"
"
02/21/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0051%"
"
02/21/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0168%"
"
02/21/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0181%"
"
02/20/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0172%"
"
02/20/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0123%"
"
02/20/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0083%"
"
02/19/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0059%"
"
02/19/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0094%"
"
02/19/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0067%"
"
02/18/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0179%"
"
02/18/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0031%"
"
02/18/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0016%"
"
02/17/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0052%"
"
02/17/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0128%"
"
02/17/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0098%"
"
02/16/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0009%"
"
02/16/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0004%"
"
02/16/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0051%"
"
02/15/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0058%"
"
02/15/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0037%"
"
02/15/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0088%"
"
02/14/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0028%"
"
02/14/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0118%"
"
02/14/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0106%"
"
02/13/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0253%"
"
02/13/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0112%"
"
02/13/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0040%"
"
02/12/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0023%"
"
02/12/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0058%"
"
02/12/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0143%"
"
02/11/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0091%"
"
02/11/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0105%"
"
02/11/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0012%"
"
02/10/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0020%"
"
02/10/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0104%"
"
02/10/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0202%"
"
02/09/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0009%"
"
02/09/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0167%"
"
02/09/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0%"
"
02/08/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0094%"
"
02/08/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0012%"
"
02/08/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0131%"
"
02/07/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0144%"
"
02/07/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0091%"
"
02/07/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0051%"
"
02/06/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0003%"
"
02/06/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0071%"
"
02/06/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0098%"
"
02/05/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0096%"
"
02/05/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0091%"
"
02/05/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0012%"
"
02/04/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0122%"
"
02/04/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0160%"
"
02/04/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0006%"
"
02/03/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0188%"
"
02/03/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0295%"
"
02/03/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0181%"
"
02/02/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0054%"
"
02/02/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0034%"
"
02/02/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0070%"
"
02/01/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0008%"
"
02/01/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0287%"
"
02/01/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0010%"
"
01/31/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0102%"
"
01/31/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0014%"
"
01/31/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0071%"
"
01/30/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0016%"
"
01/30/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0070%"
"
01/30/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0091%"
"
01/29/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0001%"
"
01/29/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0010%"
"
01/29/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0142%"
"
01/28/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0129%"
"
01/28/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0054%"
"
01/28/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0054%"
"
01/27/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0132%"
"
01/27/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0006%"
"
01/27/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0213%"
"
01/26/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0208%"
"
01/26/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0142%"
"
01/26/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0153%"
"
01/25/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0094%"
"
01/25/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0032%"
"
01/25/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0116%"
"
01/24/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0018%"
"
01/24/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0033%"
"
01/24/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0080%"
"
01/23/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0034%"
"
01/23/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0113%"
"
01/23/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0074%"
"
01/22/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0097%"
"
01/22/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0079%"
"
01/22/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0075%"
"
01/21/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0147%"
"
01/21/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0234%"
"
01/21/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0085%"
"
01/20/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0476%"
"
01/20/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0144%"
"
01/20/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0049%"
"
01/19/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0018%"
"
01/19/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0004%"
"
01/19/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0091%"
"
01/18/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0144%"
"
01/18/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0057%"
"
01/18/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0122%"
"
01/17/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0115%"
"
01/17/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0111%"
"
01/17/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0105%"
"
01/16/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0089%"
"
01/16/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0092%"
"
01/16/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0081%"
"
01/15/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0017%"
"
01/15/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0115%"
"
01/15/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0049%"
"
01/14/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0053%"
"
01/14/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0049%"
"
01/14/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0103%"
"
01/13/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0084%"
"
01/13/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0143%"
"
01/13/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0023%"
"
01/12/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0208%"
"
01/12/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0101%"
"
01/12/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0183%"
"
01/11/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0141%"
"
01/11/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0113%"
"
01/11/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0078%"
"
01/10/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0%"
"
01/10/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0076%"
"
01/10/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0164%"
"
01/09/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0118%"
"
01/09/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0137%"
"
01/09/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0163%"
"
01/08/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0156%"
"
01/08/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0096%"
"
01/08/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0391%"
"
01/07/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0123%"
"
01/07/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0057%"
"
01/07/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0054%"
"
01/06/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0051%"
"
01/06/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0028%"
"
01/06/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0109%"
"
01/05/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0152%"
"
01/05/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0125%"
"
01/05/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0206%"
"
01/04/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0281%"
"
01/04/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0073%"
"
01/04/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0002%"
"
01/03/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0207%"
"
01/03/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0105%"
"
01/03/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0007%"
"
01/02/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0028%"
"
01/02/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0025%"
"
01/02/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0110%"
"
01/01/2025 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0080%"
"
01/01/2025 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0259%"
"
01/01/2025 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0029%"
"
12/31/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0143%"
"
12/31/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0236%"
"
12/31/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0087%"
"
12/30/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0174%"
"
12/30/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0186%"
"
12/30/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0192%"
"
12/29/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0251%"
"
12/29/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0228%"
"
12/29/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0286%"
"
12/28/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0204%"
"
12/28/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0313%"
"
12/28/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0319%"
"
12/27/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0277%"
"
12/27/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0220%"
"
12/27/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0233%"
"
12/26/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0222%"
"
12/26/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0133%"
"
12/26/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0092%"
"
12/25/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0239%"
"
12/25/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0093%"
"
12/25/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0049%"
"
12/24/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0024%"
"
12/24/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0198%"
"
12/24/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0398%"
"
12/23/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0110%"
"
12/23/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0191%"
"
12/23/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0169%"
"
12/22/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0130%"
"
12/22/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0186%"
"
12/22/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0185%"
"
12/21/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0055%"
"
12/21/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0109%"
"
12/21/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0160%"
"
12/20/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0071%"
"
12/20/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0241%"
"
12/20/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0045%"
"
12/19/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0208%"
"
12/19/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0326%"
"
12/19/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0180%"
"
12/18/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0300%"
"
12/18/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0158%"
"
12/18/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0139%"
"
12/17/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0200%"
"
12/17/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0180%"
"
12/17/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
-0.0056%"
"
12/16/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0120%"
"
12/16/2024 12:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0194%"
"
12/16/2024 04:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0073%"
"
12/15/2024 20:00:00","
BTC Perpetual/USDT","
Every 8 Hours","
0.0069%"
