Time,Contract,Funding Interval,Funding Rate,Spot Closing Price,Futures Closing Price
2025-03-01 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0106%,86061.6,
2025-03-01 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0014%,84795.7,
2025-03-01 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0090%,84738.7,
2025-02-28 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0047%,84337.8,
2025-02-28 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0154%,84023.3,
2025-02-28 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0224%,79201.3,
2025-02-27 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0017%,84713.6,
2025-02-27 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0052%,85503.2,
2025-02-27 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0361%,86268.7,
2025-02-26 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0154%,84242.6,
2025-02-26 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0226%,87558.3,
2025-02-26 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0252%,88721.0,
2025-02-25 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0174%,88679.8,
2025-02-25 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0197%,87230.7,
2025-02-25 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0092%,89328.5,
2025-02-24 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0104%,91565.0,
2025-02-24 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0081%,94326.7,
2025-02-24 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0023%,95870.0,
2025-02-23 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0069%,96257.7,
2025-02-23 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0006%,95453.0,
2025-02-23 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0060%,96500.5,
2025-02-22 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0087%,96551.1,
2025-02-22 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0277%,96591.1,
2025-02-22 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0069%,96286.7,
2025-02-21 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0051%,96179.1,
2025-02-21 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0168%,98098.4,
2025-02-21 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0181%,98169.5,
2025-02-20 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0172%,98300.1,
2025-02-20 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0123%,96906.4,
2025-02-20 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0083%,96855.2,
2025-02-19 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0059%,96643.8,
2025-02-19 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0094%,95925.3,
2025-02-19 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0067%,95686.9,
2025-02-18 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0179%,95656.7,
2025-02-18 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0031%,95555.3,
2025-02-18 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0016%,95456.3,
2025-02-17 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0052%,95770.2,
2025-02-17 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0128%,95662.3,
2025-02-17 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0098%,96076.1,
2025-02-16 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0009%,96123.4,
2025-02-16 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0004%,96907.7,
2025-02-16 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0051%,97257.0,
2025-02-15 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0058%,97576.0,
2025-02-15 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0037%,97631.1,
2025-02-15 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0088%,97350.9,
2025-02-14 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0028%,97491.2,
2025-02-14 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0118%,96924.9,
2025-02-14 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0106%,96934.0,
2025-02-13 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0253%,96611.4,
2025-02-13 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0112%,95998.0,
2025-02-13 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0040%,96070.5,
2025-02-12 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0023%,97861.7,
2025-02-12 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0058%,95814.1,
2025-02-12 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0143%,96073.4,
2025-02-11 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0091%,95780.0,
2025-02-11 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0105%,97012.0,
2025-02-11 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0012%,98270.7,
2025-02-10 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0020%,97433.3,
2025-02-10 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0104%,97230.4,
2025-02-10 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0202%,97432.9,
2025-02-09 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0009%,96467.7,
2025-02-09 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0167%,96484.8,
2025-02-09 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0%,97061.4,
2025-02-08 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0094%,96447.2,
2025-02-08 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0012%,95838.1,
2025-02-08 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0131%,96199.7,
2025-02-07 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0144%,96511.4,
2025-02-07 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0091%,98288.8,
2025-02-07 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0051%,96748.3,
2025-02-06 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0003%,96555.7,
2025-02-06 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0071%,97329.6,
2025-02-06 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0098%,98191.3,
2025-02-05 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0096%,96616.6,
2025-02-05 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0091%,98104.2,
2025-02-05 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0012%,97851.2,
2025-02-04 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0122%,97774.5,
2025-02-04 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0160%,99356.4,
2025-02-04 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0006%,98444.5,
2025-02-03 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0188%,101351.0,
2025-02-03 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0295%,98845.6,
2025-02-03 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0181%,95311.4,
2025-02-02 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0054%,97693.9,
2025-02-02 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0034%,99349.4,
2025-02-02 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0070%,99636.3,
2025-02-01 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0008%,100632.5,
2025-02-01 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0287%,102072.1,
2025-02-01 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0010%,102167.1,
2025-01-31 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0102%,102436.3,
2025-01-31 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0014%,105453.3,
2025-01-31 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0071%,104198.8,
2025-01-30 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0016%,104719.2,
2025-01-30 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0070%,105560.3,
2025-01-30 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0091%,105121.3,
2025-01-29 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0001%,103736.1,
