coin,trade_size,entry_time,exit_time,entry_spot,exit_spot,entry_futures,exit_futures,funding_rate,funding_profit,fees,total_pnl,pnl_pct,hours_held,direction,position_type
BTC,4.91803,2024-02-28 08:00:00,2024-03-03 08:00:00,60966.22,62164.63,61000.0,62210.7,0.00023682,852.5515168872001,844.43066903,-52.3217408428045,-0.00017440590163935927,96.0,positive,Short Futures / Long Spot
BTC,5.84482,2024-02-26 00:00:00,2024-03-04 00:00:00,51293.26,64066.62,51327.5,64120.6,0.00026761,1685.9429918512756,899.4184360600001,671.1478089912899,0.0022371593741172366,168.0,positive,Short Futures / Long Spot
BTC,5.50341,2024-02-26 16:00:00,2024-03-04 16:00:00,54476.47,68245.71,54511.6,68296.4,0.00027227,1715.2991963953045,900.3031721046,729.3629646907639,0.002431212438673801,168.0,positive,Short Futures / Long Spot
BTC,5.34759,2024-02-27 00:00:00,2024-03-05 00:00:00,56059.08,66129.64,56100.0,66223.8,0.00032262,2032.5046382209803,882.8721357480001,864.9268108729473,0.0028830913012476626,168.0,positive,Short Futures / Long Spot
BTC,5.14579,2024-02-28 00:00:00,2024-03-06 00:00:00,58241.1,66676.46,58300.0,66759.4,0.00026729,1683.9245134011298,874.2168222787999,686.0028995224008,0.002286679708405039,168.0,positive,Short Futures / Long Spot
BTC,5.28401,2024-02-27 08:00:00,2024-03-08 16:00:00,56745.66,68124.19,56775.0,68180.2,0.00073521,6837.445427520803,887.9011566748001,5808.619724146011,0.019362087190664932,248.0,positive,Short Futures / Long Spot
BTC,4.80092,2024-02-28 16:00:00,2024-03-10 00:00:00,62432.1,69347.16,62487.9,69430.0,0.00053538,4979.024189112246,866.125335544,3983.0819767682756,0.013276966084025971,248.0,positive,Short Futures / Long Spot
BTC,4.78,2024-02-29 00:00:00,2024-03-10 08:00:00,62707.17,69194.83,62761.5,69254.7,0.00069091,6425.4623574537,864.310518,5534.670639453727,0.01844890397640282,248.0,positive,Short Futures / Long Spot
BTC,4.82156,2024-03-03 08:00:00,2024-03-10 08:00:00,62164.63,69194.83,62210.7,69254.7,0.00042989,2707.879292350341,866.5935399112,1774.7482244391636,0.005916761815620216,168.0,positive,Short Futures / Long Spot
BTC,4.77637,2024-02-29 08:00:00,2024-03-10 16:00:00,62768.02,68955.88,62809.1,69001.8,0.00076337,7099.329190648542,863.2690773476002,6212.942482500961,0.02070984272465302,248.0,positive,Short Futures / Long Spot
BTC,4.90169,2024-02-29 16:00:00,2024-03-11 00:00:00,61130.98,71019.99,61203.3,71223.8,0.00057031,5303.875991395966,878.5838172900001,3780.76895600597,0.012602579839861591,248.0,positive,Short Futures / Long Spot
BTC,4.56017,2024-03-05 00:00:00,2024-03-12 00:00:00,66129.64,72121.1,66223.8,72175.5,0.0004896,3104.958747410554,866.4308407456001,2419.8402658649948,0.008012934052108291,168.0,positive,Short Futures / Long Spot
BTC,4.53283,2024-03-06 00:00:00,2024-03-13 00:00:00,66676.46,72855.16,66759.4,72964.0,0.0003628,2305.5175337839173,869.0528428596,1319.0643939242773,0.004358972619885606,168.0,positive,Short Futures / Long Spot
BTC,4.68736,2024-03-04 00:00:00,2024-03-14 08:00:00,64066.62,70844.01,64120.6,70904.5,0.00055071,5131.100767199709,866.4905575424001,4234.095496057265,0.014087527010133886,248.0,positive,Short Futures / Long Spot
BTC,4.41038,2024-03-04 16:00:00,2024-03-15 00:00:00,68245.71,68448.29,68296.4,68487.4,0.0006362,5940.584539951629,843.6233963092001,5148.033344042373,0.01709100216233926,248.0,positive,Short Futures / Long Spot
BTC,4.4854,2024-03-10 00:00:00,2024-03-17 00:00:00,69347.16,65636.67,69430.0,65681.2,0.0003101,2028.0067909962004,857.7846665120002,1342.0577984841907,0.004309460218925506,168.0,positive,Short Futures / Long Spot
BTC,4.59108,2024-03-11 00:00:00,2024-03-18 00:00:00,71019.99,68218.38,71223.8,68262.9,0.00035489,2436.9861338951637,902.8372593240001,2265.4620077712007,0.00692814202586787,168.0,positive,Short Futures / Long Spot
BTC,4.51504,2024-03-08 16:00:00,2024-03-19 00:00:00,68124.19,64704.22,68180.2,64742.1,0.00062913,6003.74118313653,849.0174225824,5236.581435754118,0.01701092730742939,248.0,positive,Short Futures / Long Spot
BTC,4.56072,2024-03-12 00:00:00,2024-03-19 00:00:00,72121.1,64704.22,72175.5,64742.1,0.0004447,3074.040857082133,894.0647586336001,2255.3191928485157,0.006851486471863672,168.0,positive,Short Futures / Long Spot
BTC,4.5277,2024-03-13 00:00:00,2024-03-20 00:00:00,72855.16,62957.85,72964.0,62995.1,0.00033224,2304.928674599712,887.9109472800001,1741.1557703196931,0.005270494306233154,168.0,positive,Short Futures / Long Spot
BTC,4.59174,2024-03-10 08:00:00,2024-03-20 16:00:00,69194.83,67840.51,69254.7,67876.4,0.00063451,6254.991243501786,884.7859621572001,5480.315206544567,0.017233718586709582,248.0,positive,Short Futures / Long Spot
BTC,4.68961,2024-03-10 16:00:00,2024-03-21 00:00:00,68955.88,66985.19,69001.8,67031.8,0.00054479,5464.972340410961,898.2347684920001,4563.501741018948,0.014102661224518745,248.0,positive,Short Futures / Long Spot
BTC,4.71296,2024-03-14 08:00:00,2024-03-21 08:00:00,70844.01,66557.77,70904.5,66601.6,0.00038753,2719.5194906495617,918.8825121279999,1879.1548921215788,0.005623348850707694,168.0,positive,Short Futures / Long Spot
BTC,4.53772,2024-03-11 08:00:00,2024-03-21 16:00:00,72010.0,65501.27,72061.4,65539.9,0.00078428,7950.111570696582,891.4438064224,7116.6144486741705,0.02176371592214414,248.0,positive,Short Futures / Long Spot
BTC,4.96744,2024-03-17 16:00:00,2024-03-21 16:00:00,68393.48,65501.27,68447.9,65539.9,0.00024827,1012.9738841648341,939.9334332671999,151.47632849763863,0.00044550441424793,96.0,positive,Short Futures / Long Spot
BTC,4.94694,2024-03-15 00:00:00,2024-03-22 00:00:00,68448.29,66178.01,68487.4,66223.4,0.00038515,2740.289958059711,939.3017165819999,1769.921458277717,0.005224042149504889,168.0,positive,Short Futures / Long Spot
BTC,5.06672,2024-03-18 08:00:00,2024-03-25 16:00:00,67467.19,69880.01,67509.2,69920.5,0.00030597,2302.456286322044,967.0887984416001,1343.068902280391,0.003926525545081108,176.0,positive,Short Futures / Long Spot
BTC,5.38742,2024-03-19 00:00:00,2024-03-26 00:00:00,64704.22,70486.38,64742.1,70535.0,0.00026923,1972.015673505483,1001.1789535848,912.9758291206929,0.0026175299726607856,168.0,positive,Short Futures / Long Spot
BTC,5.44274,2024-03-19 08:00:00,2024-03-26 08:00:00,64051.85,70250.0,64084.0,70307.1,0.00029065,2128.907648784084,1003.3657445012001,989.7455412828634,0.002837633833718186,168.0,positive,Short Futures / Long Spot
BTC,5.52181,2024-03-25 00:00:00,2024-04-01 00:00:00,66821.19,69594.94,66866.6,69637.0,0.00025549,1980.9973789808482,1045.5656566838002,953.9297857970782,0.0025836025805709485,168.0,positive,Short Futures / Long Spot
BTC,5.2819,2024-03-28 00:00:00,2024-04-01 00:00:00,70399.03,69594.94,70456.8,69637.0,0.00024195,1080.4880341925282,1037.933809354,125.53287383856241,0.00033732177901929283,96.0,positive,Short Futures / Long Spot
BTC,5.29792,2024-03-25 16:00:00,2024-04-01 16:00:00,69880.01,69649.8,69920.5,69700.0,0.00028815,2241.5469511256642,1035.8494243584,1154.2547235673073,0.0031159590331162985,168.0,positive,Short Futures / Long Spot
BTC,5.31302,2024-03-26 16:00:00,2024-04-02 16:00:00,69988.0,65463.99,70044.1,65505.3,0.00026764,2091.6226016126802,1022.1200627248002,1148.082104687888,0.0030850338772859024,168.0,positive,Short Futures / Long Spot
BTC,5.33169,2024-03-27 00:00:00,2024-04-03 00:00:00,69725.99,66135.99,69798.8,66181.1,0.00028757,2247.3758964599892,1025.8004144934002,1369.2632949665694,0.003679375565711679,168.0,positive,Short Futures / Long Spot
BTC,5.3521,2024-03-27 16:00:00,2024-04-03 16:00:00,69469.99,65963.28,69532.6,65971.9,0.00043631,3409.7862097190346,1026.0912317500001,2672.654856969061,0.0071817484579320325,168.0,positive,Short Futures / Long Spot
BTC,5.21687,2024-03-28 08:00:00,2024-04-04 08:00:00,71290.39,67647.99,71335.1,67631.8,0.00029899,2336.626226309165,1026.0864405314,1628.2471687778075,0.004375292002520614,168.0,positive,Short Futures / Long Spot
BTC,5.25342,2024-03-28 16:00:00,2024-04-04 16:00:00,70780.6,68487.79,70838.7,68489.9,0.0002943,2299.9704835607263,1031.5254076704002,1562.5840616902772,0.004198853135503484,168.0,positive,Short Futures / Long Spot
BTC,5.37471,2024-03-29 08:00:00,2024-04-05 08:00:00,69180.0,68190.62,69240.1,68201.5,0.00025456,1989.4003028684772,1036.8955028520002,1217.048026216483,0.0032703557183770835,168.0,positive,Short Futures / Long Spot
BTC,5.3237,2024-03-29 16:00:00,2024-04-05 16:00:00,69850.54,67820.62,69903.6,67825.7,0.0003017,2357.804115408924,1032.5935828679999,1580.6416585409802,0.004247372074113644,168.0,positive,Short Futures / Long Spot
BTC,5.46444,2024-04-01 08:00:00,2024-04-08 08:00:00,68237.15,71773.98,68281.0,71815.7,0.00033491,2624.1759115091604,1059.7016908584,1576.1134778507849,0.0042241754501252836,168.0,positive,Short Futures / Long Spot
BTC,5.36809,2024-04-01 16:00:00,2024-04-09 00:00:00,69649.8,70383.99,69700.0,70444.0,0.00027469,2261.0912885961397,1050.292575332,1158.137750364152,0.0030953349497848245,176.0,positive,Short Futures / Long Spot
BTC,5.35803,2024-04-01 00:00:00,2024-04-11 08:00:00,69594.94,70000.0,69637.0,70045.9,0.00070161,8115.264108100339,1046.0299795980002,7048.6592933023585,0.018891277376538382,248.0,positive,Short Futures / Long Spot
BTC,4.92909,2024-11-10 08:00:00,2024-11-17 08:00:00,79694.03,90260.01,79735.1,90305.1,0.00025603,2113.1311018361416,1141.7356649526,951.58049508352,0.0024211920561082343,168.0,positive,Short Futures / Long Spot
BTC,4.53522,2024-11-12 08:00:00,2024-11-19 08:00:00,86632.0,92391.99,86659.9,92453.3,0.00043737,3609.8140267687445,1121.2272022608,2337.0651243079315,0.0059464020812740066,168.0,positive,Short Futures / Long Spot
BTC,4.46757,2024-11-12 16:00:00,2024-11-19 16:00:00,87952.01,92310.79,87972.0,92335.9,0.00038754,3198.539078872654,1115.8772000418,2059.7879204308765,0.005240909681262278,168.0,positive,Short Futures / Long Spot
BTC,4.26239,2024-11-18 08:00:00,2024-11-25 08:00:00,92309.51,96000.56,92407.8,96040.4,0.0003645,3014.9397835831896,1114.4075771026,2149.668901980638,0.0054577012449166795,168.0,positive,Short Futures / Long Spot
BTC,4.28304,2024-11-19 08:00:00,2024-11-26 08:00:00,92391.99,92813.0,92453.3,92877.4,0.00030216,2512.643153218571,1109.675273136,1389.7332864825864,0.003509594267462638,168.0,positive,Short Futures / Long Spot
BTC,4.29564,2024-11-25 16:00:00,2024-12-02 16:00:00,93010.01,95840.62,93064.0,95890.5,0.00025233,2118.3502837861724,1128.6038926488,1007.4014715373742,0.0025199561755351193,168.0,positive,Short Futures / Long Spot
BTC,4.3579,2024-11-26 16:00:00,2024-12-03 16:00:00,91965.16,95849.69,92021.4,95913.3,0.00029599,2492.656472904557,1135.9343975840002,1324.6043523205135,0.0033030875199246044,168.0,positive,Short Futures / Long Spot
BTC,4.28206,2024-11-27 00:00:00,2024-12-04 00:00:00,93597.16,96588.81,93651.3,96652.1,0.00031205,2627.9072936722187,1132.6733829600003,1456.0530617121817,0.0036308695283994085,168.0,positive,Short Futures / Long Spot
BTC,4.19795,2024-12-03 08:00:00,2024-12-07 08:00:00,95682.54,99756.01,95743.7,99811.4,0.00024926,1202.212682128115,1138.5436508899998,87.8912027381325,0.00021867439783509744,96.0,positive,Short Futures / Long Spot
BTC,4.18438,2024-12-04 00:00:00,2024-12-11 00:00:00,96588.81,97334.6,96652.1,97337.9,0.00026634,2262.028655785402,1134.1675791772,1378.8820328082852,0.0034094529409502737,168.0,positive,Short Futures / Long Spot
BTC,4.22103,2024-12-04 08:00:00,2024-12-11 08:00:00,95742.81,100361.64,95813.0,100352.7,0.00026254,2229.757600807183,1147.1399524134,1416.627752293803,0.0035027800551073953,168.0,positive,Short Futures / Long Spot
BTC,4.16931,2024-12-05 16:00:00,2024-12-13 00:00:00,96945.63,100130.0,97001.5,100100.0,0.00047059,4187.048702423167,1142.2711140306,3402.7962380925474,0.008413821739560682,176.0,positive,Short Futures / Long Spot
BTC,4.06696,2024-12-07 00:00:00,2024-12-14 00:00:00,99405.2,101824.0,99442.6,101787.0,0.00031972,2715.3853510833237,1139.7248703999999,1878.2423046833587,0.004644182166516248,168.0,positive,Short Futures / Long Spot
BTC,3.99042,2024-12-05 08:00:00,2024-12-15 16:00:00,101292.01,104463.99,101350.1,104460.4,0.00072446,9082.782100032406,1141.8680205828,8187.043185049692,0.02024343889967569,248.0,positive,Short Futures / Long Spot
BTC,4.05982,2024-12-09 00:00:00,2024-12-16 00:00:00,99576.51,104992.79,99637.1,104949.9,0.00030413,2583.487794126957,1149.3875760708002,1854.2103916561969,0.004583857977430192,168.0,positive,Short Futures / Long Spot
