coin,trade_size,entry_time,exit_time,entry_spot,exit_spot,entry_futures,exit_futures,funding_rate,funding_profit,fees,total_pnl,pnl_pct,hours_held,direction,position_type
ETH,102.62304,2024-02-20 00:00:00,2024-02-27 00:00:00,2921.78,3217.5,2923.32,3219.57,0.000265,1669.499918154432,864.0055403366401,751.104166617772,0.002503680678133015,168.0,positive,Short Futures / Long Spot
ETH,99.4296,2024-02-20 16:00:00,2024-02-27 16:00:00,3014.81,3242.36,3017.21,3244.98,0.00025431,1602.152911432982,857.6403554784,722.638043954602,0.0024087936130067844,168.0,positive,Short Futures / Long Spot
ETH,98.50469,2024-02-25 08:00:00,2024-03-03 08:00:00,3043.62,3422.5,3045.54,3424.31,0.00025856,1628.9278565598581,869.4701651667199,770.293207293151,0.0025676442504121207,168.0,positive,Short Futures / Long Spot
ETH,93.3901,2024-02-27 00:00:00,2024-03-05 00:00:00,3217.5,3672.98,3219.57,3678.0,0.00028561,1803.3973051802773,875.75632374,652.1401864402969,0.002168913594579466,168.0,positive,Short Futures / Long Spot
ETH,92.85923,2024-02-27 16:00:00,2024-03-05 16:00:00,3242.36,3553.65,3244.98,3555.43,0.00029666,1877.2209384622588,866.28969966072,1088.9329920015512,0.0036137995003975784,168.0,positive,Short Futures / Long Spot
ETH,91.13344,2024-02-28 00:00:00,2024-03-06 00:00:00,3302.99,3786.6,3306.43,3789.84,0.00033546,2122.741614479657,878.3306069708799,1262.637695508767,0.004190266590794267,168.0,positive,Short Futures / Long Spot
ETH,89.94011,2024-02-28 08:00:00,2024-03-06 16:00:00,3348.39,3818.59,3350.3,3822.36,0.00032021,2122.7296354917826,877.3359129334801,1078.1051179583358,0.0035778653810107663,176.0,positive,Short Futures / Long Spot
ETH,88.96372,2024-02-28 16:00:00,2024-03-06 16:00:00,3383.1,3818.59,3387.07,3822.36,0.00043581,2757.7417419263315,873.98741408736,1901.5470718389897,0.006310590129728704,168.0,positive,Short Futures / Long Spot
ETH,97.1078,2024-02-26 00:00:00,2024-03-07 08:00:00,3087.19,3837.16,3089.35,3840.37,0.00059496,5533.127666721256,897.9243636727999,4533.240113048442,0.015110801287002072,248.0,positive,Short Futures / Long Spot
ETH,93.03842,2024-02-27 08:00:00,2024-03-08 16:00:00,3229.78,3883.36,3231.74,3886.04,0.00066751,6221.830997110548,890.2280736206401,5264.6152610898835,0.017509264293971583,248.0,positive,Short Futures / Long Spot
ETH,86.79804,2024-02-29 00:00:00,2024-03-10 08:00:00,3467.99,3883.69,3471.58,3886.0,0.00062574,5845.110257982291,871.8672162312,5084.344532951109,0.01687321638712062,248.0,positive,Short Futures / Long Spot
ETH,88.19868,2024-03-03 08:00:00,2024-03-10 08:00:00,3422.5,3883.69,3424.31,3886.0,0.00038668,2452.4838954098304,877.9120209839999,1530.47253442583,0.005067460599887273,168.0,positive,Short Futures / Long Spot
ETH,86.82706,2024-02-29 08:00:00,2024-03-10 16:00:00,3468.42,3878.47,3470.42,3881.22,0.00073381,6854.605309777382,871.9013603409601,5917.583654436423,0.01963845295560768,248.0,positive,Short Futures / Long Spot
ETH,82.27475,2024-03-05 00:00:00,2024-03-12 00:00:00,3672.98,4027.13,3678.0,4030.09,0.00038776,2464.1128736002797,869.646740292,1763.952118308275,0.005829193822729728,168.0,positive,Short Futures / Long Spot
ETH,80.42273,2024-03-06 16:00:00,2024-03-13 16:00:00,3818.59,4004.79,3822.36,4008.76,0.00040511,2615.186450881635,872.1192035932402,1726.982701288374,0.005617946360782276,168.0,positive,Short Futures / Long Spot
ETH,81.06534,2024-03-07 00:00:00,2024-03-14 08:00:00,3789.22,3845.81,3792.06,3848.4,0.00035699,2414.2883601366375,863.9262988344001,1570.6283963022377,0.005109319205603286,176.0,positive,Short Futures / Long Spot
ETH,81.10795,2024-03-07 08:00:00,2024-03-14 08:00:00,3837.16,3845.81,3840.37,3848.4,0.00039169,2562.112951992429,872.1570306680001,1740.24285032442,0.005586931736082693,168.0,positive,Short Futures / Long Spot
ETH,80.45183,2024-03-07 16:00:00,2024-03-14 16:00:00,3868.76,3881.7,3871.69,3884.99,0.00044218,2892.37696470236,872.5412876869601,1990.87301821539,0.006391562746035937,168.0,positive,Short Futures / Long Spot
ETH,81.37402,2024-03-08 16:00:00,2024-03-15 16:00:00,3883.36,3742.19,3886.04,3745.0,0.00048823,3242.177551209806,875.8057925344001,2355.7931360753973,0.007449791431174122,168.0,positive,Short Futures / Long Spot
ETH,85.38674,2024-03-05 16:00:00,2024-03-16 00:00:00,3553.65,3740.19,3555.43,3743.39,0.00082409,7755.662529391846,862.5778721208801,6771.835486470957,0.02230610968847647,248.0,positive,Short Futures / Long Spot
ETH,82.90686,2024-03-10 08:00:00,2024-03-17 08:00:00,3883.69,3628.42,3886.0,3629.96,0.00049375,3340.56300097275,884.72795464728,2519.6733285254686,0.007820796320123516,168.0,positive,Short Futures / Long Spot
ETH,84.38117,2024-03-10 16:00:00,2024-03-17 16:00:00,3878.47,3644.71,3881.22,3646.99,0.00029818,2050.744751122161,900.7294993624399,1189.6744016597459,0.003632572688896867,168.0,positive,Short Futures / Long Spot
ETH,81.60271,2024-03-11 00:00:00,2024-03-18 00:00:00,4001.4,3626.65,4013.37,3628.97,0.00029368,2019.795721914166,889.9571967949602,1917.3046766192124,0.005854332028594443,168.0,positive,Short Futures / Long Spot
ETH,82.4803,2024-03-13 16:00:00,2024-03-20 16:00:00,4004.79,3516.53,4008.76,3517.8,0.00044242,3071.951355662611,892.751920746,2401.8962449166347,0.007264303072072233,168.0,positive,Short Futures / Long Spot
ETH,86.3362,2024-03-14 16:00:00,2024-03-21 16:00:00,3881.7,3492.85,3884.99,3495.16,0.00035217,2480.587135258984,911.6695213136001,1653.5270899453872,0.004929790680104721,168.0,positive,Short Futures / Long Spot
ETH,89.29929,2024-03-15 00:00:00,2024-03-22 00:00:00,3754.12,3511.4,3756.08,3514.52,0.00040271,2836.576811763376,921.55581370224,1811.4338216611486,0.005400570411918847,168.0,positive,Short Futures / Long Spot
ETH,81.65808,2024-03-12 00:00:00,2024-03-22 08:00:00,4027.13,3349.31,4030.09,3351.21,0.00068106,6948.0186751674455,876.61810684224,6157.958133125202,0.018712112622149866,248.0,positive,Short Futures / Long Spot
ETH,90.12964,2024-03-15 16:00:00,2024-03-22 16:00:00,3742.19,3336.35,3745.0,3339.0,0.00033557,2378.6025551195457,915.3187693912,1477.7045281283322,0.004377923271027997,168.0,positive,Short Futures / Long Spot
ETH,93.33996,2024-03-16 08:00:00,2024-03-23 08:00:00,3679.55,3405.5,3681.49,3407.57,0.0002749,1983.7423736691953,941.3480576337602,1030.2601212353843,0.002998165857030565,168.0,positive,Short Futures / Long Spot
ETH,86.69148,2024-03-14 08:00:00,2024-03-24 16:00:00,3845.81,3454.98,3848.4,3457.16,0.00050365,5208.913618374161,906.56297499504,4337.894150179143,0.013002364218896232,248.0,positive,Short Futures / Long Spot
ETH,95.13834,2024-03-17 16:00:00,2024-03-24 16:00:00,3644.71,3454.98,3646.99,3457.16,0.00030376,2213.2986586087272,956.6300891743201,1266.1824034343983,0.0036492711332907148,168.0,positive,Short Futures / Long Spot
ETH,98.83144,2024-03-18 08:00:00,2024-03-25 16:00:00,3525.18,3590.42,3528.17,3592.94,0.00026393,2024.6784696817945,980.87357854528,1090.2556679365389,0.0031266820981415994,176.0,positive,Short Futures / Long Spot
ETH,103.72862,2024-03-19 00:00:00,2024-03-26 00:00:00,3360.14,3635.13,3361.6,3637.91,0.00028148,2061.1588920020317,998.96967760096,925.2674360011029,0.0026535216944313135,168.0,positive,Short Futures / Long Spot
