coin,trade_size,entry_time,exit_time,entry_spot,exit_spot,entry_futures,exit_futures,funding_rate,funding_profit,fees,total_pnl,pnl_pct,hours_held,direction,position_type
SOL,2562.08793,2024-02-14 16:00:00,2024-02-21 16:00:00,116.97,105.03,117.092,105.113,0.00029225,1841.1749993835747,814.821849213072,1126.2745794405025,0.0037542485993919306,168.0,positive,Short Futures / Long Spot
SOL,2733.98341,2024-02-16 08:00:00,2024-02-23 08:00:00,109.67,100.29,109.73,100.356,0.00032087,2021.4809971652098,819.169232424568,1185.9078642806805,0.003953026219812396,168.0,positive,Short Futures / Long Spot
SOL,2796.75948,2024-02-17 08:00:00,2024-02-24 16:00:00,107.2,104.01,107.267,104.114,0.00042046,2775.035992055627,832.570685712576,1838.9852055830333,0.006129950702825601,176.0,positive,Short Futures / Long Spot
SOL,2752.09158,2024-02-17 16:00:00,2024-02-24 16:00:00,108.92,104.01,109.008,104.114,0.00028279,1781.576993780158,828.7406399952961,908.8028885048461,0.003029342972258863,168.0,positive,Short Futures / Long Spot
SOL,2648.11807,2024-02-19 00:00:00,2024-02-26 00:00:00,113.22,103.3,113.288,103.392,0.0003023,1904.489999455062,818.675234565552,1022.2599312095074,0.0034075331050067003,168.0,positive,Short Futures / Long Spot
SOL,2636.66725,2024-02-19 08:00:00,2024-02-26 08:00:00,113.69,104.97,113.78,105.087,0.00029566,1862.657998168386,821.1889603456,970.2790220727841,0.003234263410089639,168.0,positive,Short Futures / Long Spot
SOL,2686.77569,2024-02-19 16:00:00,2024-02-26 16:00:00,111.53,109.9,111.658,110.034,0.00031944,2012.4719999598847,835.8215264301681,1160.529819389716,0.0038684327313761647,168.0,positive,Short Futures / Long Spot
SOL,2739.22571,2024-02-20 00:00:00,2024-02-27 00:00:00,109.42,110.41,109.52,110.479,0.0004747,2990.6099975995367,841.553688148472,2233.9723064610416,0.007446574360847255,168.0,positive,Short Futures / Long Spot
SOL,2812.99227,2024-02-20 08:00:00,2024-02-27 08:00:00,106.62,106.81,106.648,106.885,0.00029934,1885.84199755444,840.3758146779601,913.2555461864486,0.0030441851579025275,168.0,positive,Short Futures / Long Spot
SOL,2767.06819,2024-02-20 16:00:00,2024-02-27 16:00:00,108.31,108.36,108.418,108.45,0.00031742,1999.7459934902936,839.4731474822,1210.0800734280956,0.004033600257890763,168.0,positive,Short Futures / Long Spot
SOL,2949.78389,2024-02-23 00:00:00,2024-03-01 00:00:00,101.98,131.92,102.046,132.066,0.00026289,1661.803029967268,913.2908495777922,512.5294691894412,0.0017026785149833242,168.0,positive,Short Futures / Long Spot
SOL,3010.0937,2024-02-23 08:00:00,2024-03-01 08:00:00,100.29,131.18,100.356,131.371,0.00032841,2083.334592698899,920.1158099161601,786.9570702826989,0.00260511970544847,168.0,positive,Short Futures / Long Spot
SOL,2925.19712,2024-02-24 16:00:00,2024-03-02 16:00:00,104.01,130.02,104.114,130.184,0.0002623,1677.5746492097387,913.1505943984639,588.9122276113076,0.0019336875559483944,168.0,positive,Short Futures / Long Spot
