type,grid_price,price,timestamp,btc_amount,usdt_value,fee,drawdown,volatility,reason,buy_price,profit
BUY,80592.17,80592.17,2025-02-28 04:24:00,0.004963261319306826,400.0,0.4,0.0,2.0,key_level,,
BUY,80225.73,80216.65,2025-02-28 04:32:00,0.004986495945667141,400.0,0.4,0.022638038906261503,2.0,key_level,,
BUY,80846.74,80791.99,2025-02-28 04:46:00,0.004950985858870415,400.0,0.4,0.016908541775818492,2.0,price_dip,,
BUY,80618.14,80618.14,2025-02-28 04:48:00,0.004961662474475347,400.0,0.4,0.04679927858074219,1.5,price_dip,,
BUY,79890.41,79923.21,2025-02-28 05:08:00,0.005004803986226279,400.00000000000006,0.4000000000000001,0.18876162836780797,1.5,key_level,,
BUY,79994.0,79994.0,2025-02-28 05:12:00,0.004000300022501688,320.00000000000006,0.32000000000000006,0.1751645924864278,1.5,key_level,,
SELL,79994.0,79994.0,2025-02-28 05:12:00,0.004000300022501688,319.68000000000006,,0.1751645924864278,1.5,downtrend_rally,79994.0,-0.32000000000000006
BUY,79994.0,79972.7,2025-02-28 05:13:00,0.004001365465965261,320.0,0.32,0.1868557520829717,1.5,key_level,,
BUY,79751.93,79737.32,2025-02-28 05:25:00,0.004013177267558027,320.0,0.32,0.25797280674342227,1.5,key_level,,
BUY,79956.22,79956.22,2025-02-28 05:36:00,0.00500273774823272,399.99999999999994,0.39999999999999997,0.18922732116065036,1.5,key_level,,
SELL,79956.22,79956.22,2025-02-28 05:36:00,0.00500273774823272,399.59999999999997,,0.18922732116065036,1.5,price_rally,79956.22,-0.39999999999999997
BUY,79956.22,79996.13,2025-02-28 05:37:00,0.005000241886701269,400.0,0.4,0.18410664733248042,1.5,key_level,,
SELL,79956.22,79996.13,2025-02-28 05:37:00,0.005000241886701269,399.6,,0.18410664733248042,1.5,price_rally,79996.13,-0.4
BUY,79956.22,79954.41,2025-02-28 05:38:00,0.005002850999713462,400.0,0.4,0.20581459802774293,1.5,price_dip,,
BUY,80021.98,80021.98,2025-02-28 06:00:00,0.003499038639133898,280.0,0.28,0.18422623110739927,1.5,uptrend_dip,,
BUY,80024.09,80021.98,2025-02-28 06:00:00,0.003499038639133898,280.0,0.28,0.18422623110739927,1.5,uptrend_dip,,
